Player,Team,Games,Minutes,Defense,Attack,Possession,Total,Goals,Goals Inside,Goals Outside,On-Target Shots,Total Shots,Shot Accuracy,Shots Inside,Shots Outside,Successful Passes,Attempted Passes,Pass Accuracy,Avg Pass Length,Key Passes,Assists,Chances Created,Successful Tackles,Failed Tackles,Tackle Attempts,Sussessful Take Ons,Failed Take Ons,Take On Attempts,Successful Aerials,Failed Aerials,Total Aerials,Total Successful Duels,Total Failed Duels,Total Duels,Interception,Blocked Shots,Clearances,Total Defense,Errors,Errors Leading to Goal,Total Error,Card - D,Card - T,Card - C,Card - O,Yellow Card,Red Card,Total Card
Sanchez,ARSENAL,35,2942,43,1280,-202,1120,16,13,3,,121,62,68,53,1117,,77,16,71,8,,50,,,115,,,28,,,265,,,41,0,8,49,1,0,1,0,0,0,4,4,0,4
Giroud,ARSENAL,27,1856,-84,624,-135,404,14,12,2,,70,50,53,17,515,,68,11,25,3,,20,,,7,,,99,,,155,,,6,2,26,34,1,1,2,0,3,1,2,5,1,6
Welbeck,ARSENAL,25,1677,148,407,-27,529,4,4,0,,58,53,51,7,430,,82,11,26,3,,22,,,39,,,37,,,113,,,29,2,12,43,NA,NA,NA,1,2,0,0,3,0,3
Walcott,ARSENAL,14,456,16,230,6,251,5,5,0,,23,75,21,2,89,,87,11,4,0,,0,,,8,,,1,,,137,,,3,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agbonlahor,A. VILLA,34,2692,-20,356,-241,95,6,6,0,,80,45,69,11,445,,75,14,14,1,,11,,,24,,,45,,,11,,,8,1,18,27,NA,NA,NA,0,6,0,2,7,1,8
Benteke,A. VILLA,29,2378,-49,508,-125,334,13,11,2,,53,45,43,10,644,,67,14,31,2,,7,,,17,,,187,,,235,,,3,2,20,25,NA,NA,NA,0,1,0,4,5,0,5
Weimann,A. VILLA,35,1780,0,233,-15,218,3,3,0,,33,52,22,11,468,,81,15,18,2,,15,,,10,,,15,,,54,,,12,2,16,30,NA,NA,NA,0,0,0,2,1,1,2
Ings,BURNLEY,35,3025,65,700,-392,372,11,11,0,,97,43,61,36,469,,63,13,27,2,,746,,,16,,,25,,,159,,,20,2,14,36,NA,NA,NA,2,4,0,0,6,0,6
Barnes,BURNLEY,25,2421,-27,342,-346,-31,5,4,1,,66,40,41,25,509,,71,13,31,4,,716,,,27,,,134,,,215,,,19,8,42,69,NA,NA,NA,0,4,0,2,5,1,6
Jutkiewicz,BURNLEY,15,1009,-39,99,-116,-56,NA,NA,NA,,36,36,26,10,171,,59,12,10,2,,291,,,16,,,64,,,95,,,4,2,15,21,1,NA,NA,0,1,0,0,1,0,1
Vokes,BURNLEY,14,574,6,33,-48,-9,NA,NA,NA,,17,50,14,3,99,,55,13,5,0,,180,,,3,,,53,,,59,,,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sordell,BURNLEY,14,315,-5,4,-59,-60,NA,NA,NA,,3,50,2,1,43,,61,11,2,0,,70,,,5,,,11,,,16,,,1,1,3,3,NA,NA,NA,0,2,0,0,2,0,2
Costa,CHELSEA,26,2069,-57,856,-160,639,20,20,0,,76,64,66,10,550,,78,12,38,3,,12,,,28,,,32,,,97,,,5,1,21,27,NA,NA,NA,2,2,3,1,8,0,8
Drogba,CHELSEA,28,916,-5,150,-179,-34,4,4,0,,30,36,17,13,190,,60,14,13,1,,12,,,10,,,44,,,82,,,2,3,12,17,1,0,1,0,3,0,2,5,0,5
Remy,CHELSEA,19,694,5,312,2,319,7,6,1,,30,59,18,12,188,,82,12,5,0,,2,,,7,,,11,,,29,,,2,0,6,8,1,0,1,NA,NA,NA,NA,NA,NA,NA
